fighter,punchType,powerpunchType,punchPlacement,punchLanded,partOfCombo,counterpunch,knockdownOrKO,round,timestamp,comment
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:56,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:54,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:47,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:44,
Canelo,powerpunch,hook,head,landed,soloPunch,no,no,1,02:44,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:41,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:41,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,02:40,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:37,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,1,02:36,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,1,02:35,
Canelo,jab,NA,head,missed ,comboPunch,no,no,1,02:35,
Canelo,powerpunch,hook,body,missed ,comboPunch,no,no,1,02:34,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:31,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:30,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,02:28,
Golovkin,powerpunch,hook,body,missed ,soloPunch,no,no,1,02:25,
Canelo,jab,NA,body,landed,soloPunch,no,no,1,02:25,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:22,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:19,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,02:16,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:13,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:12,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,02:10,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:06,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,02:06,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,02:02,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:58,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:57,
Canelo,powerpunch,hook,head,missed ,comboPunch,no,no,1,01:55,
Canelo,jab,NA,head,missed ,comboPunch,no,no,1,01:55,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,01:50,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,01:45,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:43,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,01:43,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:42,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:37,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:36,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:34,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:33,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,01:31,
Canelo,powerpunch,hook,head,missed ,comboPunch,no,no,1,01:30,
Canelo,powerpunch,cross,head,landed,comboPunch,no,no,1,01:30,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,01:25,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:23,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,01:21,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:21,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:19,
Canelo,jab,NA,head,missed ,comboPunch,no,no,1,01:15,
Canelo,powerpunch,hook,body,missed ,comboPunch,no,no,1,01:15,
Golovkin,powerpunch,cross,head,missed ,soloPunch,no,no,1,01:11,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,01:10,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,01:10,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,01:08,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,01:05,
Golovkin,jab,NA,head,landed,comboPunch,no,no,1,01:02,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,1,01:02,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:58,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,1,00:57,
Golovkin,jab,NA,head,landed,comboPunch,no,no,1,00:57,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,00:56,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:56,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:50,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:45,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:42,
Canelo,jab,NA,head,missed ,comboPunch,no,no,1,00:42,
Golovkin,jab,NA,body,missed ,soloPunch,no,no,1,00:41,
Canelo,powerpunch,hook,head,landed,comboPunch,no,no,1,00:41,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:40,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:36,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:32,
Golovkin,jab,NA,body,landed,comboPunch,no,no,1,00:32,
Golovkin,powerpunch,hook,body,missed ,comboPunch,no,no,1,00:31,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:28,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,1,00:26,
Golovkin,jab,NA,head,landed,comboPunch,no,no,1,00:26,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:22,
Canelo,jab,NA,head,missed ,comboPunch,no,no,1,00:21,
Canelo,powerpunch,hook,body,missed ,comboPunch,no,no,1,00:21,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:18,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,00:17,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:16,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:16,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:13,
Golovkin,jab,NA,head,landed,soloPunch,no,no,1,00:09,
Canelo,jab,NA,head,landed,soloPunch,no,no,1,00:07,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:06,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:06,
Golovkin,powerpunch,uppercut,body,landed,soloPunch,no,no,1,00:06,
Canelo,hold,NA,NA,NA,NA,no,no,1,00:06,
Canelo,jab,NA,head,missed ,soloPunch,no,no,1,00:00,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,1,00:00,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:51,
Golovkin,jab,NA,body,landed,soloPunch,no,no,2,02:51,
Canelo,jab,NA,head,landed,comboPunch,no,no,2,02:49,
Canelo,jab,NA,head,landed,comboPunch,no,no,2,02:49,
Golovkin,jab,NA,head,landed,soloPunch,no,no,2,02:49,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:44,
Golovkin,powerpunch,uppercut,head,missed ,comboPunch,no,no,2,02:43,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:43,
Canelo,jab,NA,head,missed ,soloPunch,no,no,2,02:42,
Canelo,jab,NA,head,missed ,comboPunch,no,no,2,02:40,
Canelo,powerpunch,hook,head,missed ,comboPunch,no,no,2,02:40,
Canelo,jab,NA,head,landed,soloPunch,no,no,2,02:39,
Golovkin,jab,NA,head,landed,soloPunch,no,no,2,02:39,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:33,
Canelo,jab,NA,head,missed ,soloPunch,no,no,2,02:30,
Canelo,jab,NA,head,landed,soloPunch,no,no,2,02:29,
Golovkin,jab,NA,body,missed ,soloPunch,no,no,2,02:28,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:23,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:22,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:21,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:16,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:16,
Golovkin,powerpunch,uppercut,head,missed ,comboPunch,no,no,2,02:16,
Golovkin,jab,NA,head,landed,comboPunch,no,no,2,02:15,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:14,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:14,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:12,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:11,
Golovkin,jab,NA,head,missed ,comboPunch,no,no,2,02:10,
Canelo,jab,NA,head,landed,soloPunch,no,no,2,02:09,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:09,
Canelo,jab,NA,head,missed ,comboPunch,no,no,2,02:06,
Canelo,powerpunch,hook,body,landed,comboPunch,no,no,2,02:06,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:03,
Canelo,jab,NA,head,missed ,soloPunch,no,no,2,02:03,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,02:03,
Canelo,powerpunch,hook,head,landed,soloPunch,no,no,2,02:01,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,01:59,
Canelo,powerpunch,uppercut,head,missed ,soloPunch,no,no,2,01:57,
Canelo,jab,NA,head,missed ,soloPunch,no,no,2,01:55,
Golovkin,jab,NA,head,landed,soloPunch,no,no,2,01:55,
Golovkin,jab,NA,head,landed,soloPunch,no,no,2,01:52,
Canelo,powerpunch,hook,body,missed ,soloPunch,no,no,2,01:52,
Canelo,jab,NA,head,landed,soloPunch,no,no,2,01:50,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,01:49,
Golovkin,jab,NA,head,missed ,soloPunch,no,no,2,01:45,
Canelo,jab,NA,head,missed ,comboPunch,no,no,2,01:43,
Canelo,powerpunch,uppercut,head,missed ,comboPunch,no,no,2,01:43,
Canelo,jab,NA,head,missed ,comboPunch,no,no,2,01:42,
Golovkin,powerpunch,hook,head,missed ,comboPunch,no,no,2,01:39,
