fighter,punchType,powerpunchType,punchPlacement,punchLanded,partOfCombo,counterpunch,knockdownOrKO,round,timestamp,comment
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:57,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:55,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:51,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:50,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:46,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:45,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:42,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:42,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:40,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,02:36,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,02:36,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:34,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:34,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:33,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,02:33,
Canelo,powerpunch,hook,head,missed,comboPunch,no,no,1,02:32,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:31,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,02:29,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,02:29,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:27,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:26,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:26,
Bivol,jab,NA,body,missed,soloPunch,no,no,1,02:25,
Canelo,powerpunch,hook,body,missed,soloPunch,no,no,1,02:23,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,02:21,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,02:21,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,02:21,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:19,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,02:18,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:16,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:15,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:13,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:10,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,02:09,
Bivol,jab,NA,head,landed,comboPunch,no,no,1,02:09,
Bivol,jab,NA,head,landed,comboPunch,no,no,1,02:09,
Bivol,powerpunch,cross,head,landed,comboPunch,no,no,1,02:08,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:08,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:07,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,02:07,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,02:05,
Canelo,powerpunch,hook,body,landed,soloPunch,no,no,1,02:03,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:01,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,02:00,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:57,
Canelo,jab,NA,head,missed,soloPunch,no,no,1,01:56,
Canelo,jab,NA,head,missed,soloPunch,no,no,1,01:54,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:51,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:50,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:50,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:48,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,01:48,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:47,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:45,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,01:44,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,01:43,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,01:42,
Canelo,jab,NA,head,missed,comboPunch,no,no,1,01:41,
Canelo,powerpunch,hook,body,missed,comboPunch,no,no,1,01:40,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:38,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:37,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:35,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:35,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:34,
Bivol,jab,NA,head,missed,comboPunch,no,no,1,01:34,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,01:32,
Canelo,jab,NA,head,missed,soloPunch,no,no,1,01:29,
Bivol,jab,NA,body,landed,soloPunch,counterpunch,no,1,01:29,
Bivol,jab,NA,head,landed,soloPunch,no,no,1,01:28,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:27,
Canelo,powerpunch,hook,head,missed,soloPunch,no,no,1,01:25,
Canelo,jab,NA,head,landed,comboPunch,no,no,1,01:24,
Canelo,powerpunch,cross,body,landed,comboPunch,no,no,1,01:24,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:19,
Bivol,jab,NA,head,missed,soloPunch,no,no,1,01:18,
