fighter,punchType,powerpunchType,punchPlacement,punchLanded,partOfCombo,counterpunch,knockdownOrKO,round,timestamp,comment
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:56,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:56,
Usyk,powerpunch,uppercut,head,missed,comboPunch,no,no,1,02:56,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:55,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:54,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:54,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:53,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:50,
Usyk,powerpunch,cross,head,landed,soloPunch,no,no,1,02:48,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,02:48,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:48,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,02:48,
Joshua,powerpunch,cross,head,landed,soloPunch,no,no,1,02:48,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:44,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:41,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,1,02:41,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:40,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,02:40,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,02:40,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:36,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:34,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:33,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:31,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,02:31,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:30,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:25,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:25,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:25,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:23,
Usyk,jab,NA,body,missed,soloPunch,no,no,1,02:22,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,02:22,
Joshua,powerpunch,cross,head,landed,soloPunch,no,no,1,02:19,
Usyk,jab,NA,body,missed,soloPunch,no,no,1,02:19,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:14,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:11,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:11,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:10,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,02:09,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,02:09,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:08,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:07,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,02:06,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:06,
Joshua,jab,NA,body,landed,comboPunch,no,no,1,02:06,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,02:05,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,02:03,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,02:00,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:50,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:50,
Usyk,jab,NA,body,missed,soloPunch,no,no,1,01:50,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:49,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:48,
Usyk,powerpunch,cross,body,landed,soloPunch,no,no,1,01:47,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:46,
Joshua,powerpunch,cross,body,landed,soloPunch,no,no,1,01:41,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:40,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:38,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:37,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:37,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:33,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:30,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:26,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:25,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,01:24,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,01:24,
Joshua,jab,NA,head,landed,comboPunch,no,no,1,01:23,
Usyk,powerpunch,cross,body,landed,comboPunch,counterhit,no,1,01:23,
Joshua,jab,NA,body,missed,soloPunch,no,no,1,01:21,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:19,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:17,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:15,
Usyk,powerpunch,cross,head,landed,comboPunch,no,no,1,01:15,
Joshua,powerpunch,hook,head,missed,soloPunch,no,no,1,01:15,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:14,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:12,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:12,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:10,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:09,
Joshua,powerpunch,cross,head,missed,soloPunch,no,no,1,01:09,
Usyk,powerpunch,cross,head,landed,comboPunch,no,no,1,01:09,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:09,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:08,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,01:06,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,01:05,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:01,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,01:01,
Joshua,jab,NA,head,landed,soloPunch,no,no,1,01:01,
Usyk,jab,NA,head,landed,soloPunch,no,no,1,01:01,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:57,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:55,
Usyk,jab,NA,head,missed,comboPunch,no,no,1,00:55,
Usyk,powerpunch,hook,head,landed,comboPunch,no,no,1,00:55,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:51,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:50,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:49,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:47,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:46,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:45,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:45,
Joshua,jab,NA,body,missed,comboPunch,no,no,1,00:43,
Joshua,powerpunch,hook,body,missed,comboPunch,no,no,1,00:42,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:39,
Usyk,jab,NA,head,missed,soloPunch,no,no,1,00:36,
Joshua,jab,NA,head,missed,soloPunch,no,no,1,00:36,
Usyk,powerpunch,cross,body,landed,soloPunch,no,no,1,00:35,
Joshua,jab,NA,head,missed,comboPunch,no,no,1,00:35,
